x,y,geo_tiff_count
77,-59,1
77,-59,1
77,-59,1
77,-59,1
77,-59,1
77,-59,1
77,-59,1
77,-59,1
77,-59,1
77,-59,1
77,-59,1
77,-59,1
77,-59,1
77,-59,1
77,-59,1
77,-59,1
77,-59,1
77,-59,1
77,-59,1
77,-59,1
77,-59,1
77,-59,1
77,-59,1
77,-59,1
77,-59,1
77,-59,1
77,-59,1
77,-59,1
77,-59,1
77,-59,1
77,-59,1
77,-59,1
77,-59,1
77,-59,1
77,-59,1
77,-59,1
77,-59,1
77,-59,1
77,-59,1
77,-59,1
77,-59,1
77,-59,1
77,-59,1
77,-59,1
77,-59,1
77,-59,1
77,-59,1
77,-59,1
77,-59,1
77,-59,1
77,-59,1
77,-59,1
77,-59,1
77,-59,1
77,-59,1
77,-59,1
77,-59,1
77,-59,1
77,-59,1
77,-59,1
77,-59,1
77,-59,1
77,-59,1
77,-59,1
77,-59,1
77,-59,1
77,-59,1
77,-59,1
77,-59,1
77,-59,1
77,-59,1
77,-59,1
77,-59,1
77,-59,1
77,-59,1
77,-59,1
77,-59,1
77,-59,1
77,-59,1
77,-59,1
77,-59,1
77,-59,1
77,-59,1
77,-59,1
77,-59,1
77,-59,1
77,-59,1
77,-59,1
77,-59,1
77,-59,1
77,-59,1
77,-59,1
77,-59,1
77,-59,1
77,-59,1
77,-59,1
77,-59,1
77,-59,1
77,-59,1
77,-59,1
77,-59,1
77,-59,1
77,-59,1
77,-59,1
77,-59,1
77,-59,1
77,-59,1
77,-59,1
77,-59,1
77,-59,1
77,-59,1
77,-59,1
77,-59,1
77,-59,1
77,-59,1
77,-59,1
77,-59,1
77,-59,1
77,-59,1
77,-59,1
77,-59,1
77,-59,1
77,-59,1
77,-59,1
77,-59,1
77,-59,1
77,-59,1
77,-59,1
77,-59,1
77,-59,1
77,-59,1
77,-59,1
77,-59,1
77,-59,1
77,-59,1
77,-59,1
77,-59,1
77,-59,1
77,-59,1
77,-59,1
77,-59,1
77,-59,1
77,-59,1
77,-59,1
77,-59,1
77,-59,1
77,-59,1
77,-59,1
77,-59,1
77,-59,1
77,-59,1
77,-59,1
77,-59,1
77,-59,1
77,-59,1
77,-59,1
77,-59,1
77,-59,1
77,-59,1
77,-59,1
77,-59,1
77,-59,1
77,-59,1
77,-59,1
77,-59,1
77,-59,1
77,-59,1
77,-59,1
77,-59,1
77,-59,1
77,-59,1
77,-59,1
77,-59,1
77,-59,1
77,-59,1
77,-59,1
77,-59,1
77,-59,1
77,-59,1
77,-59,1
77,-59,1
77,-59,1
77,-59,1
77,-59,1
77,-59,1
77,-59,1
77,-59,1
77,-59,1
77,-59,1
77,-59,1
77,-59,1
77,-59,1
77,-59,1
77,-59,1
77,-59,1
77,-59,1
77,-59,1
77,-59,1
77,-59,1
77,-59,1
77,-59,1
77,-59,1
77,-59,1
77,-59,1
77,-59,1
77,-59,1
77,-59,1
77,-59,1
77,-59,1
77,-59,1
77,-59,1
77,-59,1
77,-59,1
77,-59,1
77,-59,1
77,-59,1
77,-59,1
77,-59,1
77,-59,1
77,-59,1
77,-59,1
77,-59,1
77,-59,1
77,-59,1
77,-59,1
77,-59,1
77,-59,1
77,-59,1
77,-59,1
77,-59,1
77,-59,1
77,-59,1
77,-59,1
77,-59,1
77,-59,1
77,-59,1
77,-59,1
77,-59,1
77,-59,1
77,-59,1
77,-59,1
77,-59,1
77,-59,1
77,-59,1
77,-59,1
77,-59,1
77,-59,1
77,-59,1
77,-59,1
77,-59,1
77,-59,1
77,-59,1
77,-59,1
77,-59,1
77,-59,1
77,-59,1
77,-59,1
77,-59,1
77,-59,1
77,-59,1
77,-59,1
77,-59,1
77,-59,1
77,-59,1
77,-59,1
77,-59,1
77,-59,1
77,-59,1
77,-59,1
77,-59,1
77,-59,1
77,-59,1
77,-59,1
77,-59,1
77,-59,1
77,-59,1
77,-59,1
77,-59,1
77,-59,1
77,-59,1
77,-59,1
77,-59,1
77,-59,1
77,-59,1
77,-59,1
77,-59,1
77,-59,1
77,-59,1
77,-59,1
77,-59,1
77,-59,1
77,-59,1
77,-59,1
77,-59,1
77,-59,1
77,-59,1
77,-59,1
77,-59,1
77,-59,1
77,-59,1
77,-59,1
77,-59,1
77,-59,1
77,-59,1
77,-59,1
77,-59,1
77,-59,1
77,-59,1
77,-59,1
77,-59,1
77,-59,1
77,-59,1
77,-59,1
77,-59,1
77,-59,1
77,-59,1
77,-59,1
77,-59,1
77,-59,1
77,-59,1
77,-59,1
77,-59,1
77,-59,1
77,-59,1
77,-59,1
77,-59,1
77,-59,1
77,-59,1
77,-59,1
77,-59,1
77,-59,1
77,-59,1
77,-59,1
77,-59,1
77,-59,1
77,-59,1
77,-59,1
77,-59,1
77,-59,1
77,-59,1
77,-59,1
77,-59,1
77,-59,1
77,-59,1
77,-59,1
77,-59,1
77,-59,1
77,-59,1
77,-59,1
77,-59,1
77,-59,1
77,-59,1
77,-59,1
77,-59,1
77,-59,1
77,-59,1
77,-59,1
77,-59,1
77,-59,1
77,-59,1
77,-59,1
77,-59,1
77,-59,1
77,-59,1
77,-59,1
77,-59,1
77,-59,1
77,-59,1
77,-59,1
77,-59,1
77,-59,1
77,-59,1
77,-59,1
77,-59,1
77,-59,1
77,-59,1
77,-59,1
77,-59,1
77,-59,1
77,-59,1
77,-59,1
77,-59,1
77,-59,1
77,-59,1
77,-59,1
77,-59,1
77,-59,1
77,-59,1
77,-59,1
77,-59,1
77,-59,1
77,-59,1
77,-59,1
77,-59,1
77,-59,1
77,-59,1
77,-59,1
77,-59,1
77,-59,1
77,-59,1
77,-59,1
77,-59,1
77,-59,1
77,-59,1
77,-59,1
77,-59,1
77,-59,1
77,-59,1
77,-59,1
77,-59,1
77,-59,1
77,-59,1
77,-59,1
77,-59,1
77,-59,1
77,-59,1
77,-59,1
77,-59,1
77,-59,1
77,-59,1
77,-59,1
77,-59,1
77,-59,1
77,-59,1
77,-59,1
77,-59,1
77,-59,1
77,-59,1
77,-59,1
77,-59,1
77,-59,1
77,-59,1
77,-59,1
77,-59,1
77,-59,1
77,-59,1
77,-59,1
77,-59,1
77,-59,1
77,-59,1
77,-59,1
77,-59,1
77,-59,1
77,-59,1
77,-59,1
77,-59,1
77,-59,1
77,-59,1
77,-59,1
77,-59,1
77,-59,1
77,-59,1
77,-59,1
77,-59,1
77,-59,1
77,-59,1
77,-59,1
77,-59,1
77,-59,1
77,-59,1
77,-59,1
77,-59,1
77,-59,1
77,-59,1
77,-59,1
77,-59,1
77,-59,1
77,-59,1
77,-59,1
77,-59,1
77,-59,1
77,-59,1
77,-59,1
77,-59,1
77,-59,1
77,-59,1
77,-59,1
77,-59,1
77,-59,1
77,-59,1
77,-59,1
77,-59,1
77,-59,1
77,-59,1
77,-59,1
77,-59,1
77,-59,1
77,-59,1
77,-59,1
77,-59,1
77,-59,1
77,-59,1
77,-59,1
77,-59,1
77,-59,1
77,-59,1
77,-59,1
77,-59,1
77,-59,1
77,-59,1
77,-59,1
77,-59,1
77,-59,1
77,-59,1
77,-59,1
77,-59,1
77,-59,1
77,-59,1
77,-59,1
77,-59,1
77,-59,1
77,-59,1
77,-59,1
77,-59,1
77,-59,1
77,-59,1
77,-59,1
77,-59,1
77,-59,1
77,-59,1
77,-59,1
77,-59,1
77,-59,1
77,-59,1
77,-59,1
77,-59,1
77,-59,1
77,-59,1
77,-59,1
77,-59,1
77,-59,1
77,-59,1
77,-59,1
77,-59,1
77,-59,1
77,-59,1
77,-59,1
77,-59,1
77,-59,1
77,-59,1
77,-59,1
77,-59,1
77,-59,1
77,-59,1
77,-59,1
77,-59,1
77,-59,1
77,-59,1
77,-59,1
77,-59,1
77,-59,1
77,-59,1
77,-59,1
77,-59,1
77,-59,1
77,-59,1
77,-59,1
77,-59,1
77,-59,1
77,-59,1
77,-59,1
77,-59,1
77,-59,1
77,-59,1
77,-59,1
77,-59,1
77,-59,1
77,-59,1
77,-59,1
77,-59,1
77,-59,1
77,-59,1
77,-59,1
77,-59,1
77,-59,1
77,-59,1
77,-59,1
77,-59,1
77,-59,1
77,-59,1
77,-59,1
77,-59,1
77,-59,1
77,-59,1
77,-59,1
77,-59,1
77,-59,1
77,-59,1
77,-59,1
77,-59,1
77,-59,1
77,-59,1
77,-59,1
77,-59,1
77,-59,1
77,-59,1
77,-59,1
77,-59,1
77,-59,1
77,-59,1
77,-59,1
77,-59,1
77,-59,1
77,-59,1
77,-59,1
77,-59,1
77,-59,1
77,-59,1
77,-59,1
77,-59,1
77,-59,1
77,-59,1
77,-59,1
77,-59,1
77,-59,1
77,-59,1
77,-59,1
77,-59,1
77,-59,1
77,-59,1
77,-59,1
77,-59,1
77,-59,1
77,-59,1
77,-59,1
77,-59,1
77,-59,1
77,-59,1
77,-59,1
77,-59,1
77,-59,1
77,-59,1
77,-59,1
77,-59,1
77,-59,1
77,-59,1
77,-59,1
77,-59,1
77,-59,1
77,-59,1
77,-59,1
77,-59,1
77,-59,1
77,-59,1
77,-59,1
77,-59,1
77,-59,1
77,-59,1
77,-59,1
77,-59,1
77,-59,1
77,-59,1
77,-59,1
77,-59,1
77,-59,1
77,-59,1
77,-59,1
77,-59,1
77,-59,1
77,-59,1
77,-59,1
77,-59,1
77,-59,1
77,-59,1
77,-59,1
77,-59,1
77,-59,1
77,-59,1
77,-59,1
77,-59,1
77,-59,1
77,-59,1
77,-59,1
77,-59,1
77,-59,1
77,-59,1
77,-59,1
77,-59,1
77,-59,1
77,-59,1
77,-59,1
77,-59,1
77,-59,1
77,-59,1
77,-59,1
77,-59,1
77,-59,1
77,-59,1
77,-59,1
77,-59,1
77,-59,1
77,-59,1
77,-59,1
77,-59,1
77,-59,1
77,-59,1
77,-59,1
77,-59,1
77,-59,1
77,-59,1
77,-59,1
77,-59,1
77,-59,1
77,-59,1
77,-59,1
77,-59,1
77,-59,1
77,-59,1
77,-59,1
77,-59,1
77,-59,1
77,-59,1
77,-59,1
77,-59,1
77,-59,1
77,-59,1
77,-59,1
77,-59,1
77,-59,1
77,-59,1
77,-59,1
77,-59,1
77,-59,1
77,-59,1
77,-59,1
77,-59,1
77,-59,1
77,-59,1
77,-59,1
77,-59,1
77,-59,1
77,-59,1
77,-59,1
77,-59,1
77,-59,1
77,-59,1
77,-59,1
77,-59,1
77,-59,1
77,-59,1
77,-59,1
77,-59,1
77,-59,1
77,-59,1
77,-59,1
77,-59,1
77,-59,1
77,-59,1
77,-59,1
77,-59,1
77,-59,1
77,-59,1
77,-59,1
77,-59,1
77,-59,1
77,-59,1
77,-59,1
77,-59,1
77,-59,1
77,-59,1
77,-59,1
77,-59,1
77,-59,1
77,-59,1
77,-59,1
77,-59,1
77,-59,1
77,-59,1
77,-59,1
77,-59,1
77,-59,1
77,-59,1
77,-59,1
77,-59,1
77,-59,1
77,-59,1
77,-59,1
77,-59,1
77,-59,1
77,-59,1
77,-59,1
77,-59,1
77,-59,1
77,-59,1
77,-59,1
77,-59,1
77,-59,1
77,-59,1
77,-59,1
77,-59,1
77,-59,1
77,-59,1
77,-59,1
77,-59,1
77,-59,1
77,-59,1
77,-59,1
77,-59,1
77,-59,1
77,-59,1
77,-59,1
77,-59,1
77,-59,1
77,-59,1
77,-59,1
77,-59,1
77,-59,1
77,-59,1
77,-59,1
77,-59,1
77,-59,1
77,-59,1
77,-59,1
77,-59,1
77,-59,1
77,-59,1
77,-59,1
77,-59,1
77,-59,1
77,-59,1
77,-59,1
77,-59,1
77,-59,1
77,-59,1
77,-59,1
77,-59,1
77,-59,1
77,-59,1
77,-59,1
77,-59,1
77,-59,1
77,-59,1
77,-59,1
77,-59,1
77,-59,1
77,-59,1
77,-59,1
77,-59,1
77,-59,1
77,-59,1
77,-59,1
77,-59,1
77,-59,1
77,-59,1
77,-59,1
77,-59,1
77,-59,1
77,-59,1
77,-59,1
77,-59,1
77,-59,1
77,-59,1
77,-59,1
77,-59,1
77,-59,1
77,-59,1
77,-59,1
77,-59,1
